Team,Goals,Penalties,Salary,Goals/million,Penalties/million
DAL,269,537,83235010,3.23,6.45
CAR,305,615,117400920,2.6,5.24
CHI,182,703,61978333,2.94,11.34
EDM,317,900,88233874,3.59,10.2
WSH,222,624,96858771,2.29,6.44
PIT,275,630,88437675,3.11,7.12
COL,333,914,106630834,3.12,8.57
LAK,255,697,89738334,2.84,7.77
SJS,160,632,60067459,2.66,10.52
TOR,306,839,99449666,3.08,8.44
BOS,261,798,78632500,3.32,10.15
BUF,247,797,81023571,3.05,9.84
PHI,238,838,70591667,3.37,11.87
DET,280,699,91994167,3.04,7.6
OTT,240,802,85294882,2.81,9.4
ANA,210,1083,69770792,3.01,15.52
VAN,306,816,97729167,3.13,8.35
MIN,250,908,71133333,3.51,12.76
NYR,283,732,93344026,3.03,7.84
NJD,260,707,85487500,3.04,8.27
STL,231,552,78944525,2.93,6.99
NYI,236,531,76612500,3.08,6.93
CGY,271,892,93400834,2.9,9.55
NSH,281,846,73373643,3.83,11.53
VGK,311,689,109176650,2.85,6.31
TBL,310,1023,91730833,3.38,11.15
SEA,205,623,84626190,2.42,7.36
FLA,288,1140,92557024,3.11,12.32
MTL,245,829,74830001,3.27,11.08
WPG,305,711,88719523,3.44,8.01
ARI,258,972,67162083,3.84,14.47
CBJ,242,685,88009164,2.75,7.78
