Team,Name,Position,GP,G,A,PTS,PIM
Air Force Academy Statistics and History,22,Chris Hedden,D,38,8,29,37
Air Force Academy Statistics and History,37,Will Gavin,L,38,19,17,36
Air Force Academy Statistics and History,4,Luke Rowe,D,35,6,23,29
Air Force Academy Statistics and History,26,Clayton Cosentino,F,38,10,18,28
Air Force Academy Statistics and History,17,Parker Brown,F,37,8,13,21
Air Force Academy Statistics and History,10,Austin Schwartz,F,38,10,9,19
Air Force Academy Statistics and History,13,Mason McCormick,F,38,6,9,15
Air Force Academy Statistics and History,18,Holt Oliphant,F,38,10,4,14
Air Force Academy Statistics and History,82,Andrew DeCarlo,F,32,5,9,14
Air Force Academy Statistics and History,64,Brendan Gibbons,R,33,7,5,12
Air Force Academy Statistics and History,6,Owen Baumgartner,D,24,4,6,10
Air Force Academy Statistics and History,27,Luke Robinson,D,38,2,7,9
Air Force Academy Statistics and History,44,William Staring,D,33,1,8,9
Air Force Academy Statistics and History,7,Brian Adams,L,30,2,6,8
Air Force Academy Statistics and History,24,Nathan Horn,F,33,3,4,7
Air Force Academy Statistics and History,16,Sam Brennan,D,36,3,4,7
Air Force Academy Statistics and History,15,Owen Dubois,F,30,4,2,6
Air Force Academy Statistics and History,19,Nicholas Remissong,C,34,1,5,6
Air Force Academy Statistics and History,9,Lucas Coon,F,11,3,2,5
Air Force Academy Statistics and History,20,Nolan Cunningham,D,26,0,5,5
Air Force Academy Statistics and History,28,Mitchell Digby,D,27,2,1,3
Air Force Academy Statistics and History,14,Jacob Marti,F,15,1,1,2
Air Force Academy Statistics and History,11,Samuel Jacobs,F,1,0,0,0
Air Force Academy Statistics and History,35,Carter Clafton,G,2,0,0,0
Air Force Academy Statistics and History,29,Jasper Lester,D,2,0,0,0
Air Force Academy Statistics and History,12,James Callahan,D,2,0,0,0
Air Force Academy Statistics and History,51,Maiszon Balboa,G,5,0,0,0
Air Force Academy Statistics and History,8,Ethan Ullrick,R,7,0,0,0
Air Force Academy Statistics and History,1,Guy Blessing,G,38,0,0,0
Air Force Academy Statistics and History,,Totals,115,187,302,426,
Albertus Magnus College Statistics and History,26,Tyler Ignazzitto,F,25,3,17,20
Albertus Magnus College Statistics and History,37,Sam Anderson,F,25,11,8,19
Albertus Magnus College Statistics and History,12,Tim Manning,F,25,7,10,17
Albertus Magnus College Statistics and History,22,Cameron Weitzman,F,25,7,9,16
Albertus Magnus College Statistics and History,4,Zane Kindrachuk,F,19,7,7,14
Albertus Magnus College Statistics and History,21,Caden Pattison,F,24,6,8,14
Albertus Magnus College Statistics and History,5,Harley Michaels,D,25,1,12,13
Albertus Magnus College Statistics and History,25,J.J. Berdal,D,23,5,7,12
Albertus Magnus College Statistics and History,23,Gustav Muller,F,22,4,7,11
Albertus Magnus College Statistics and History,2,Charles Lavoie,F,24,4,7,11
Albertus Magnus College Statistics and History,14,Will Lavigne,D,25,4,7,11
Albertus Magnus College Statistics and History,6,Connor Bertamini,D,23,3,7,10
Albertus Magnus College Statistics and History,28,Zeth Kindrachuk,L,23,8,1,9
Albertus Magnus College Statistics and History,7,Sam Witt,D,22,1,7,8
Albertus Magnus College Statistics and History,17,Paden Hicks,C,17,5,1,6
Albertus Magnus College Statistics and History,8,Robert Barrasso,L,15,1,5,6
Albertus Magnus College Statistics and History,18,Kyle Dann,F,23,2,3,5
Albertus Magnus College Statistics and History,11,Bailey Kirwin,C,18,1,3,4
Albertus Magnus College Statistics and History,10,Eric Chamandy,D,20,1,3,4
Albertus Magnus College Statistics and History,13,Aidan Patterson,F,12,2,0,2
Albertus Magnus College Statistics and History,20,Jeremy Tremblay,R,6,1,1,2
Albertus Magnus College Statistics and History,3,Ryan Herpy,D,25,1,1,2
Albertus Magnus College Statistics and History,30,Logan Bateman,G,23,0,2,2
Albertus Magnus College Statistics and History,9,Kyler Campbell,F,1,0,0,0
Albertus Magnus College Statistics and History,16,Ryan Colwell,R,1,0,0,0
Albertus Magnus College Statistics and History,1,Shane Peremba,G,1,0,0,0
Albertus Magnus College Statistics and History,39,Lucas Ehrlich,G,2,0,0,0
Albertus Magnus College Statistics and History,99,Carson Ironside,G,3,0,0,0
Albertus Magnus College Statistics and History,19,Spencer Silver,L,5,0,0,0
Albertus Magnus College Statistics and History,24,Nick Durajlija,D,10,0,0,0
Albertus Magnus College Statistics and History,,Totals,85,133,218,327,
American International College Statistics and History,9,Dustin Manz,F,39,7,24,31
American International College Statistics and History,11,Julius Janhonen,C,40,5,19,24
American International College Statistics and History,19,Jordan Biro,L,39,7,16,23
American International College Statistics and History,21,John Lundy,L,26,14,8,22
American International College Statistics and History,28,Alfred Lindberg,C,20,11,11,22
American International College Statistics and History,7,Brian Kramer,D,35,10,12,22
American International College Statistics and History,25,Alexander Malinowski,C,27,9,11,20
American International College Statistics and History,55,Brett Rylance,F,38,6,14,20
American International College Statistics and History,44,Austen Long,F,38,8,8,16
American International College Statistics and History,24,Blake Wells,F,32,4,6,10
American International College Statistics and History,4,Brett Callahan,D,37,4,6,10
American International College Statistics and History,17,Oscar Geschwind,C,32,2,8,10
American International College Statistics and History,2,Nico Somerville,D,40,4,5,9
American International College Statistics and History,5,Tomi Leppanen,D,40,3,6,9
American International College Statistics and History,37,Evan Stella,D,40,3,5,8
American International College Statistics and History,61,Casey McDonald,R,31,4,3,7
American International College Statistics and History,3,Logan Jenuwine,C,23,1,6,7
American International College Statistics and History,39,Dario Beljo,F,16,2,4,6
