Team,Number,Name,Position,GP,G,A,PTS,PIM
Air Force Academy 4586.Html,22,Chris Hedden,D,38,8,29,37,37
Air Force Academy 4586.Html,37,Will Gavin,L,38,19,17,36,24
Air Force Academy 4586.Html,4,Luke Rowe,D,35,6,23,29,70
Air Force Academy 4586.Html,26,Clayton Cosentino,F,38,10,18,28,6
Air Force Academy 4586.Html,17,Parker Brown,F,37,8,13,21,27
Air Force Academy 4586.Html,10,Austin Schwartz,F,38,10,9,19,10
Air Force Academy 4586.Html,13,Mason McCormick,F,38,6,9,15,44
Air Force Academy 4586.Html,18,Holt Oliphant,F,38,10,4,14,10
Air Force Academy 4586.Html,82,Andrew DeCarlo,F,32,5,9,14,12
Air Force Academy 4586.Html,64,Brendan Gibbons,R,33,7,5,12,14
Air Force Academy 4586.Html,6,Owen Baumgartner,D,24,4,6,10,12
Air Force Academy 4586.Html,27,Luke Robinson,D,38,2,7,9,32
Air Force Academy 4586.Html,44,William Staring,D,33,1,8,9,20
Air Force Academy 4586.Html,7,Brian Adams,L,30,2,6,8,4
Air Force Academy 4586.Html,24,Nathan Horn,F,33,3,4,7,12
Air Force Academy 4586.Html,16,Sam Brennan,D,36,3,4,7,16
Air Force Academy 4586.Html,15,Owen Dubois,F,30,4,2,6,6
Air Force Academy 4586.Html,19,Nicholas Remissong,C,34,1,5,6,19
Air Force Academy 4586.Html,9,Lucas Coon,F,11,3,2,5,2
Air Force Academy 4586.Html,20,Nolan Cunningham,D,26,0,5,5,2
Air Force Academy 4586.Html,28,Mitchell Digby,D,27,2,1,3,11
Air Force Academy 4586.Html,14,Jacob Marti,F,15,1,1,2,21
Air Force Academy 4586.Html,11,Samuel Jacobs,F,1,0,0,0,0
Air Force Academy 4586.Html,35,Carter Clafton,G,2,0,0,0,0
Air Force Academy 4586.Html,29,Jasper Lester,D,2,0,0,0,0
Air Force Academy 4586.Html,12,James Callahan,D,2,0,0,0,0
Air Force Academy 4586.Html,51,Maiszon Balboa,G,5,0,0,0,0
Air Force Academy 4586.Html,8,Ethan Ullrick,R,7,0,0,0,15
Air Force Academy 4586.Html,1,Guy Blessing,G,38,0,0,0,0
Albertus Magnus College 12798.Html,26,Tyler Ignazzitto,F,25,3,17,20,12
Albertus Magnus College 12798.Html,37,Sam Anderson,F,25,11,8,19,12
Albertus Magnus College 12798.Html,12,Tim Manning,F,25,7,10,17,8
Albertus Magnus College 12798.Html,22,Cameron Weitzman,F,25,7,9,16,12
Albertus Magnus College 12798.Html,4,Zane Kindrachuk,F,19,7,7,14,2
Albertus Magnus College 12798.Html,21,Caden Pattison,F,24,6,8,14,54
Albertus Magnus College 12798.Html,5,Harley Michaels,D,25,1,12,13,27
Albertus Magnus College 12798.Html,25,J.J. Berdal,D,23,5,7,12,20
Albertus Magnus College 12798.Html,23,Gustav Muller,F,22,4,7,11,20
Albertus Magnus College 12798.Html,2,Charles Lavoie,F,24,4,7,11,22
Albertus Magnus College 12798.Html,14,Will Lavigne,D,25,4,7,11,14
Albertus Magnus College 12798.Html,6,Connor Bertamini,D,23,3,7,10,22
Albertus Magnus College 12798.Html,28,Zeth Kindrachuk,L,23,8,1,9,14
Albertus Magnus College 12798.Html,7,Sam Witt,D,22,1,7,8,19
Albertus Magnus College 12798.Html,17,Paden Hicks,C,17,5,1,6,8
Albertus Magnus College 12798.Html,8,Robert Barrasso,L,15,1,5,6,12
Albertus Magnus College 12798.Html,18,Kyle Dann,F,23,2,3,5,9
Albertus Magnus College 12798.Html,11,Bailey Kirwin,C,18,1,3,4,4
